Survey data are below:,,,,,,,,,,
,,,,,,,,,,
,Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10
1,0.2524779017,U,1.3357649385,-1.2940801591,-0.8120338509,1.1195091926,-1.0569629661,-0.4816266651,-1.8445113721,0.2938684206
2,1.2402086398,Y,-0.3220398038,-0.3979333953,-0.7555463018,-1.289009211,0.3034515956,-0.6834583044,0.2438396038,-0.9734902042
3,-0.3976921738,,0.4169481714,1.3300316055,-0.6645961944,-0.3729511622,-0.756518384,-1.6841758905,2.0339291494,0.7190693701
4,1.678696751,H,-0.9645763255,1.0764401667,-0.2370676633,0.8739795231,NA,0.4232942965,-1.2534527966,-0.4978517186
5,-0.3440969441,U,-0.3324243567,-0.4325319442,-0.6632098043,1.1048850148,-1.0721481173,-1.0328569247,1.6730887977,-1.0193934516
6,1.0389897625,P,-1.3494469302,-1.0269896971,1.499998565,-0.5154559298,1.1136186093,1.0007885353,NA,0.2553787564
7,-0.3985183714,J,0.1906592394,NA,-0.0606089415,1.0211590219,1.4694471549,-0.9240176449,0.1231524248,0.9796445303
8,-1.2431684449,G,-0.4156841467,0.7962947902,-1.0035122911,1.1364229148,1.7956968337,0.4802054252,2.1569330174,-0.1841846666
9,0.5700908028,D,0.2285131962,-0.4157451238,-0.9039019392,NA,0.7986929399,-0.4336401335,-0.6400431276,-0.4836513225
10,0.1403586479,B,-0.0251941102,-1.7179384747,-0.1849443008,0.6850489546,0.6573973993,-2.2139682352,1.2055342023,-0.2156189505
11,1.1434289421,D,-0.7748642291,1.1783697408,-1.414027371,-0.8674969791,-0.1776946543,-0.5306866312,-0.0540174284,-0.0660390247
12,-1.3497021796,A,2.1921823779,1.1377084537,-0.5806930987,-0.8860238366,-2.7125272947,0.4247870407,0.1639995291,0.3918068436
13,0.9972940164,M,-0.2372329941,-1.5680156863,1.0347726558,0.0895138593,0.4911730289,0.2345898995,-0.4512512613,-0.2244896574
14,0.4572639185,C,0.703217155,1.5155951342,-0.8184656299,-1.3015167863,-0.0708392275,0.9315164968,1.2074076299,-0.1352987491
15,-0.0100862599,A,1.5198930992,-0.1527060532,-0.5218566865,-1.3377895898,-1.0480119464,-0.7772197921,-1.1645012573,-1.1458051888
16,-0.661567492,S,-1.1964681599,-0.3479535448,-0.7730699685,-0.6135818275,-0.7103389402,1.2224725389,1.75261063,0.6546263368
17,0.0347711197,Q,0.9530417289,-1.9311000318,0.0558800264,-0.7169147681,-0.2942036473,-0.3243423581,0.2312427762,1.195505425
